timesteps,average_episode_return
9.125000000000000000e+04,9.049170646848837762e+00
9.250000000000000000e+04,1.204351161858900809e+01
9.375000000000000000e+04,1.102998899789394827e+01
9.500000000000000000e+04,1.345011867090310531e+01
9.625000000000000000e+04,1.297753656104262276e+01
9.750000000000000000e+04,1.094622677190584703e+01
9.875000000000000000e+04,1.262260925915103016e+01
1.000000000000000000e+05,1.470399728191044808e+01
1.012500000000000000e+05,1.514305718000567857e+01
1.025000000000000000e+05,1.431263467333339712e+01
1.037500000000000000e+05,1.616835115341542206e+01
1.050000000000000000e+05,1.378275252757844527e+01
1.062500000000000000e+05,1.490649849418212192e+01
1.075000000000000000e+05,1.563321327514852577e+01
1.087500000000000000e+05,1.211974588237383976e+01
1.100000000000000000e+05,1.778841018893472636e+01
1.112500000000000000e+05,1.559815271522065849e+01
1.125000000000000000e+05,1.717289094221450085e+01
1.137500000000000000e+05,1.546615395996403031e+01
1.150000000000000000e+05,1.921802414905342005e+01
1.162500000000000000e+05,1.743639226700022959e+01
1.175000000000000000e+05,1.703429847607752023e+01
1.187500000000000000e+05,2.054557226014658511e+01
1.200000000000000000e+05,1.733321203495417606e+01
1.212500000000000000e+05,1.530281051961048711e+01
1.225000000000000000e+05,2.142010523212223916e+01
1.237500000000000000e+05,1.792725650892165135e+01
1.250000000000000000e+05,1.696240198572075286e+01
1.262500000000000000e+05,1.843132806947419056e+01
1.275000000000000000e+05,2.176207562914392213e+01
1.287500000000000000e+05,2.018196335759612481e+01
1.300000000000000000e+05,1.768977241104509091e+01
1.312500000000000000e+05,1.966314862635864813e+01
1.325000000000000000e+05,2.447745523773822285e+01
1.337500000000000000e+05,2.139087678282103866e+01
1.350000000000000000e+05,2.214600339226861436e+01
1.362500000000000000e+05,1.891442294675452018e+01
1.375000000000000000e+05,1.949752888111640914e+01
1.387500000000000000e+05,2.400288100713818196e+01
1.400000000000000000e+05,1.922039139986888046e+01
1.412500000000000000e+05,2.087056469606733700e+01
1.425000000000000000e+05,2.169066356448188770e+01
1.437500000000000000e+05,2.154514619093836103e+01
1.450000000000000000e+05,1.970736948688846368e+01
1.462500000000000000e+05,2.192961583496403222e+01
1.475000000000000000e+05,1.919410055195054809e+01
1.487500000000000000e+05,1.785518328352396367e+01
1.500000000000000000e+05,0.000000000000000000e+00
1.512500000000000000e+05,1.400665801666450605e+00
1.525000000000000000e+05,1.345655442979816430e+00
1.537500000000000000e+05,3.369652891882462420e+00
1.550000000000000000e+05,1.937321819772896969e+00
1.562500000000000000e+05,6.196781497604410660e+00
1.575000000000000000e+05,8.570283994672479366e+00
1.587500000000000000e+05,3.525047181497244164e+00
1.600000000000000000e+05,6.135253912983394287e+00
1.612500000000000000e+05,7.615451286396607067e+00
1.625000000000000000e+05,7.135814729126541245e+00
1.637500000000000000e+05,1.072980513860148832e+01
1.650000000000000000e+05,1.382260533121942636e+01
1.662500000000000000e+05,1.180398952575100857e+01
1.675000000000000000e+05,1.490053684289458680e+01
1.687500000000000000e+05,1.302095370961853682e+01
1.700000000000000000e+05,1.416579825002503945e+01
1.712500000000000000e+05,1.293003281606216959e+01
1.725000000000000000e+05,1.499465685523878200e+01
1.737500000000000000e+05,1.290644306082097437e+01
1.750000000000000000e+05,1.788416567964210913e+01
1.762500000000000000e+05,1.349592526738740439e+01
1.775000000000000000e+05,1.413597740541229264e+01
1.787500000000000000e+05,1.685899177014382389e+01
1.800000000000000000e+05,1.509026270947031456e+01
1.812500000000000000e+05,1.817677661684786372e+01
1.825000000000000000e+05,1.842435467956408601e+01
1.837500000000000000e+05,1.793544332141883046e+01
1.850000000000000000e+05,1.439601039692836260e+01
1.862500000000000000e+05,1.789058098400673558e+01
1.875000000000000000e+05,1.866919129598251459e+01
1.887500000000000000e+05,1.853087515910844374e+01
1.900000000000000000e+05,1.851066361279093186e+01
1.912500000000000000e+05,1.756378332839382850e+01
1.925000000000000000e+05,1.825535196675438243e+01
1.937500000000000000e+05,2.014789831016597432e+01
1.950000000000000000e+05,2.024837137988272673e+01
1.962500000000000000e+05,1.845926319199501009e+01
1.975000000000000000e+05,2.086517594829208022e+01
1.987500000000000000e+05,2.201604732658668340e+01
2.000000000000000000e+05,2.232481205787314948e+01
2.012500000000000000e+05,1.990908621087562835e+01
2.025000000000000000e+05,2.474192330674512164e+01
2.037500000000000000e+05,1.727467554653190618e+01
2.050000000000000000e+05,2.154379219808476265e+01
2.062500000000000000e+05,2.074871939637623441e+01
2.075000000000000000e+05,2.035822406474479251e+01
2.087500000000000000e+05,2.039136144646268178e+01
2.100000000000000000e+05,1.938772077866294907e+01
2.112500000000000000e+05,2.096856556787298587e+01
2.125000000000000000e+05,2.021013715341385364e+01
2.137500000000000000e+05,1.993857316891171649e+01
2.150000000000000000e+05,1.987058429435809259e+01
2.162500000000000000e+05,1.891194876579000805e+01
2.175000000000000000e+05,2.046756927303193052e+01
2.187500000000000000e+05,2.096290479839817422e+01
2.200000000000000000e+05,1.753049707858514239e+01
2.212500000000000000e+05,1.773965747024053030e+01
2.225000000000000000e+05,1.957583841388490953e+01
2.237500000000000000e+05,1.379573476326800119e+01
2.250000000000000000e+05,0.000000000000000000e+00
2.262500000000000000e+05,-8.491021736637405226e-04
2.275000000000000000e+05,2.449519920441787679e+00
2.287500000000000000e+05,3.717779844960296121e+00
2.300000000000000000e+05,5.910102216868397207e+00
2.312500000000000000e+05,2.351998520063296461e+00
2.325000000000000000e+05,5.857183059088743704e+00
2.337500000000000000e+05,4.276105022662889610e+00
2.350000000000000000e+05,7.533535060639746206e+00
2.362500000000000000e+05,3.419358363271910672e+00
2.375000000000000000e+05,8.362657173164482316e+00
2.387500000000000000e+05,9.938855423858163007e+00
2.400000000000000000e+05,1.091509321969814827e+01
2.412500000000000000e+05,9.612135899622973767e+00
2.425000000000000000e+05,7.622214091012300408e+00
2.437500000000000000e+05,6.561957387925971830e+00
2.450000000000000000e+05,9.863643556535521384e+00
2.462500000000000000e+05,9.322673628834856174e+00
2.475000000000000000e+05,5.307381911013698605e+00
2.487500000000000000e+05,6.242267158713987740e+00
2.500000000000000000e+05,9.930288311375056409e+00
2.512500000000000000e+05,8.796604994419784163e+00
2.525000000000000000e+05,6.015685049961475350e+00
2.537500000000000000e+05,7.033605620824056714e+00
2.550000000000000000e+05,7.948919417626221673e+00
2.562500000000000000e+05,1.070221027115577073e+01
2.575000000000000000e+05,1.084387007293788763e+01
2.587500000000000000e+05,1.062394908078147182e+01
2.600000000000000000e+05,9.423141022229808428e+00
2.612500000000000000e+05,9.519777085803077910e+00
2.625000000000000000e+05,9.049961334715451500e+00
