timesteps,average_episode_return
2.200000000000000000e+05,2.800674794432746495e+01
2.212500000000000000e+05,3.291737194311649262e+01
2.225000000000000000e+05,3.284365122652721425e+01
2.237500000000000000e+05,2.566958431950163089e+01
2.250000000000000000e+05,0.000000000000000000e+00
2.262500000000000000e+05,2.316029193548357235e+00
2.275000000000000000e+05,2.394275825227658139e+00
2.287500000000000000e+05,7.779975674730865265e+00
2.300000000000000000e+05,4.948296690452741231e+00
2.312500000000000000e+05,7.463346789444199381e+00
2.325000000000000000e+05,9.200908955269955669e+00
2.337500000000000000e+05,1.273152941338937261e+01
2.350000000000000000e+05,1.048623258668025571e+01
2.362500000000000000e+05,1.311805887901829060e+01
2.375000000000000000e+05,1.280755040024071079e+01
2.387500000000000000e+05,1.539316706320914641e+01
2.400000000000000000e+05,1.834287736799146984e+01
2.412500000000000000e+05,1.879364276775048737e+01
2.425000000000000000e+05,1.756441200518052170e+01
2.437500000000000000e+05,1.834239913280679701e+01
2.450000000000000000e+05,1.641850664760351108e+01
2.462500000000000000e+05,2.201962137158992761e+01
2.475000000000000000e+05,2.068134071941731378e+01
2.487500000000000000e+05,2.346503354389698615e+01
2.500000000000000000e+05,2.205606577956942260e+01
2.512500000000000000e+05,2.222963421161992414e+01
2.525000000000000000e+05,2.237901881048325947e+01
2.537500000000000000e+05,2.014291265309638490e+01
2.550000000000000000e+05,2.492572556327893807e+01
2.562500000000000000e+05,2.526240746553825645e+01
2.575000000000000000e+05,2.303009590339847534e+01
2.587500000000000000e+05,2.541985234423329487e+01
2.600000000000000000e+05,2.512546069437502538e+01
2.612500000000000000e+05,2.414558746709425918e+01
2.625000000000000000e+05,2.399124780334127394e+01
2.637500000000000000e+05,2.323016037478019058e+01
2.650000000000000000e+05,2.415028491237824682e+01
2.662500000000000000e+05,2.814009775344393560e+01
2.675000000000000000e+05,2.785255489661129147e+01
2.687500000000000000e+05,2.668636355936168059e+01
2.700000000000000000e+05,2.865897632917276283e+01
2.712500000000000000e+05,2.716573633931047738e+01
2.725000000000000000e+05,2.623119281778916445e+01
2.737500000000000000e+05,2.804426826243034299e+01
2.750000000000000000e+05,2.685670833918767642e+01
2.762500000000000000e+05,2.684559571939600175e+01
2.775000000000000000e+05,2.830078846823172967e+01
2.787500000000000000e+05,2.549178008059653777e+01
2.800000000000000000e+05,2.991476155422188299e+01
2.812500000000000000e+05,2.836562847778464302e+01
2.825000000000000000e+05,2.660384621243303016e+01
2.837500000000000000e+05,2.897627310652758936e+01
2.850000000000000000e+05,2.557666989787680478e+01
2.862500000000000000e+05,2.508217732840607539e+01
2.875000000000000000e+05,2.712850584951028310e+01
2.887500000000000000e+05,2.828704785459812854e+01
2.900000000000000000e+05,2.656647951151263243e+01
2.912500000000000000e+05,2.562242518635699184e+01
2.925000000000000000e+05,3.142772994524159458e+01
2.937500000000000000e+05,2.834740339922356611e+01
2.950000000000000000e+05,2.585850766737385698e+01
2.962500000000000000e+05,2.710006994799829982e+01
2.975000000000000000e+05,2.929371486656359735e+01
2.987500000000000000e+05,2.748941064992023442e+01
3.000000000000000000e+05,2.535963729935056321e+01
