timesteps,average_episode_return
6.125000000000000000e+04,5.735748713496724349e+01
6.250000000000000000e+04,5.684811796894501157e+01
6.375000000000000000e+04,5.537813031588315482e+01
6.500000000000000000e+04,5.521993474968929405e+01
6.625000000000000000e+04,5.488351624106944371e+01
6.750000000000000000e+04,5.818653320751326419e+01
6.875000000000000000e+04,5.929354141641211129e+01
7.000000000000000000e+04,5.546554943196649390e+01
7.125000000000000000e+04,5.648173441058363409e+01
7.250000000000000000e+04,5.600249943417425413e+01
7.375000000000000000e+04,5.431794465430707675e+01
7.500000000000000000e+04,0.000000000000000000e+00
7.625000000000000000e+04,3.075481932911718452e+00
7.750000000000000000e+04,4.151085779580868440e+00
7.875000000000000000e+04,9.672519813015943768e+00
8.000000000000000000e+04,1.503916135284363165e+01
8.125000000000000000e+04,1.885139747440246794e+01
8.250000000000000000e+04,1.958222437736270294e+01
8.375000000000000000e+04,2.185275343994838337e+01
8.500000000000000000e+04,2.607760398224973386e+01
8.625000000000000000e+04,3.085322366093782165e+01
8.750000000000000000e+04,2.756180747285292298e+01
8.875000000000000000e+04,2.977049687983423709e+01
9.000000000000000000e+04,3.217560731361977133e+01
9.125000000000000000e+04,3.562084013703621110e+01
9.250000000000000000e+04,3.465219800716197085e+01
9.375000000000000000e+04,3.847371089874726380e+01
9.500000000000000000e+04,3.768172725193792871e+01
9.625000000000000000e+04,4.124056107236221891e+01
9.750000000000000000e+04,4.082204785521260249e+01
9.875000000000000000e+04,4.169256717823252245e+01
1.000000000000000000e+05,4.493379944247815416e+01
1.012500000000000000e+05,4.226149246284559524e+01
1.025000000000000000e+05,4.387299878103585371e+01
1.037500000000000000e+05,4.736765425959021059e+01
1.050000000000000000e+05,4.817397639662581810e+01
1.062500000000000000e+05,4.785502902343760212e+01
1.075000000000000000e+05,4.417896433358112063e+01
1.087500000000000000e+05,5.000263504188074393e+01
1.100000000000000000e+05,4.987390211839714738e+01
1.112500000000000000e+05,4.913838848962811312e+01
1.125000000000000000e+05,4.670941652932482668e+01
1.137500000000000000e+05,5.213402148948192405e+01
1.150000000000000000e+05,5.418076282164094692e+01
1.162500000000000000e+05,5.229662558365480862e+01
1.175000000000000000e+05,5.412241320675599354e+01
1.187500000000000000e+05,5.085034746099377401e+01
1.200000000000000000e+05,5.264741526578193032e+01
1.212500000000000000e+05,5.139954727476425944e+01
1.225000000000000000e+05,5.078936514734202490e+01
1.237500000000000000e+05,5.239658924350077029e+01
1.250000000000000000e+05,5.157502383244003141e+01
1.262500000000000000e+05,5.204941383321044412e+01
1.275000000000000000e+05,5.216498089605733668e+01
1.287500000000000000e+05,5.295225208111018844e+01
1.300000000000000000e+05,5.330331229696224682e+01
1.312500000000000000e+05,5.417947537954358239e+01
1.325000000000000000e+05,5.181610657409800069e+01
1.337500000000000000e+05,5.473041314827749204e+01
1.350000000000000000e+05,5.097350105374481899e+01
1.362500000000000000e+05,5.442376080329986365e+01
1.375000000000000000e+05,5.453632122705010232e+01
1.387500000000000000e+05,5.027332029393114254e+01
1.400000000000000000e+05,5.388494949735918027e+01
1.412500000000000000e+05,5.650281122577385418e+01
1.425000000000000000e+05,5.538688723492195720e+01
1.437500000000000000e+05,5.371424694870655259e+01
1.450000000000000000e+05,5.364186578904087810e+01
1.462500000000000000e+05,5.516716195943112666e+01
1.475000000000000000e+05,5.492938026874458757e+01
1.487500000000000000e+05,5.612811686234930164e+01
1.500000000000000000e+05,0.000000000000000000e+00
1.512500000000000000e+05,6.563778722178296832e+00
1.525000000000000000e+05,1.025961340407228306e+01
1.537500000000000000e+05,1.245769872104246012e+01
1.550000000000000000e+05,1.601125465770255474e+01
1.562500000000000000e+05,2.063279148463493939e+01
1.575000000000000000e+05,2.580609968116059605e+01
1.587500000000000000e+05,2.676404152576990114e+01
1.600000000000000000e+05,2.935006324354260698e+01
1.612500000000000000e+05,2.115466906689993820e+01
1.625000000000000000e+05,2.170223379745594983e+01
1.637500000000000000e+05,2.250744198523149464e+01
1.650000000000000000e+05,2.659162457318547013e+01
1.662500000000000000e+05,2.798284161146303006e+01
1.675000000000000000e+05,2.920804770031828212e+01
1.687500000000000000e+05,2.886527479751246617e+01
1.700000000000000000e+05,3.098855093332182520e+01
1.712500000000000000e+05,3.275671007411490621e+01
1.725000000000000000e+05,3.699316077006503178e+01
1.737500000000000000e+05,3.520551017812802286e+01
1.750000000000000000e+05,3.833023821211505577e+01
1.762500000000000000e+05,4.005955336656397492e+01
1.775000000000000000e+05,3.777654568017320713e+01
1.787500000000000000e+05,3.918313797195534676e+01
1.800000000000000000e+05,3.688477346632010523e+01
1.812500000000000000e+05,4.080898085072681170e+01
1.825000000000000000e+05,4.343364683028109852e+01
1.837500000000000000e+05,4.100252105866894681e+01
1.850000000000000000e+05,4.384138800510928746e+01
1.862500000000000000e+05,4.508014486368847429e+01
1.875000000000000000e+05,4.471326683128364721e+01
1.887500000000000000e+05,4.374278946054511152e+01
1.900000000000000000e+05,4.552928432687008353e+01
1.912500000000000000e+05,4.445093899804928839e+01
1.925000000000000000e+05,4.542445879364683492e+01
1.937500000000000000e+05,5.095436629919732496e+01
1.950000000000000000e+05,4.619112760453988642e+01
1.962500000000000000e+05,4.628975794527846688e+01
1.975000000000000000e+05,4.819551581273044150e+01
1.987500000000000000e+05,4.878318817691130960e+01
2.000000000000000000e+05,4.998433195254497008e+01
2.012500000000000000e+05,4.862968736901137135e+01
2.025000000000000000e+05,5.017326823443377037e+01
2.037500000000000000e+05,5.206831672714692161e+01
2.050000000000000000e+05,5.540873307353375310e+01
2.062500000000000000e+05,5.621829349596578851e+01
2.075000000000000000e+05,5.312164322588414933e+01
2.087500000000000000e+05,5.375412719935243899e+01
2.100000000000000000e+05,5.480241591935377699e+01
2.112500000000000000e+05,5.328463084444734221e+01
2.125000000000000000e+05,5.426508661868069083e+01
2.137500000000000000e+05,5.699019590369493926e+01
2.150000000000000000e+05,5.322863534797282625e+01
2.162500000000000000e+05,5.621340301070640066e+01
2.175000000000000000e+05,5.778295800344488242e+01
2.187500000000000000e+05,5.382616187975872890e+01
2.200000000000000000e+05,5.782747921454711104e+01
2.212500000000000000e+05,5.595349455235691494e+01
2.225000000000000000e+05,5.506249940781076901e+01
2.237500000000000000e+05,5.766323742099875460e+01
2.250000000000000000e+05,0.000000000000000000e+00
2.262500000000000000e+05,3.772693240944329229e+00
2.275000000000000000e+05,7.078738066089416137e+00
2.287500000000000000e+05,1.024664877721116341e+01
2.300000000000000000e+05,1.415528866724608115e+01
2.312500000000000000e+05,1.787038752960915744e+01
2.325000000000000000e+05,2.261056177947937229e+01
2.337500000000000000e+05,2.351200444221335673e+01
