timesteps,average_episode_return
7.750000000000000000e+04,4.362504305035626473e+00
7.875000000000000000e+04,4.730597115160966482e+00
8.000000000000000000e+04,8.701527121694558886e+00
8.125000000000000000e+04,8.088151045464570643e+00
8.250000000000000000e+04,7.390462662358927126e+00
8.375000000000000000e+04,1.063154196269022655e+01
8.500000000000000000e+04,1.246498616181899166e+01
8.625000000000000000e+04,9.274800500644744261e+00
8.750000000000000000e+04,1.606631322921567318e+01
8.875000000000000000e+04,1.107839792532267253e+01
9.000000000000000000e+04,1.629960874826745254e+01
9.125000000000000000e+04,1.656600620220110542e+01
9.250000000000000000e+04,1.417530805217298884e+01
9.375000000000000000e+04,1.799349575767337228e+01
9.500000000000000000e+04,1.716099934878781852e+01
9.625000000000000000e+04,2.077664675185588550e+01
9.750000000000000000e+04,1.944023677171054487e+01
9.875000000000000000e+04,2.189725583372637985e+01
1.000000000000000000e+05,2.282681695786947529e+01
1.012500000000000000e+05,2.495943482859931351e+01
1.025000000000000000e+05,2.157296516978977508e+01
1.037500000000000000e+05,2.731583116845203207e+01
1.050000000000000000e+05,2.030595165960889048e+01
1.062500000000000000e+05,2.268828009088075248e+01
1.075000000000000000e+05,2.447404193776811354e+01
1.087500000000000000e+05,2.247920352061821703e+01
1.100000000000000000e+05,2.273845633800322119e+01
1.112500000000000000e+05,2.734513533300677679e+01
1.125000000000000000e+05,2.357604206668223767e+01
1.137500000000000000e+05,2.588632243125232435e+01
1.150000000000000000e+05,2.947349646672838475e+01
1.162500000000000000e+05,3.050812259722224340e+01
1.175000000000000000e+05,2.778867469881697616e+01
1.187500000000000000e+05,3.029315133203633792e+01
1.200000000000000000e+05,3.071823521237408627e+01
1.212500000000000000e+05,3.052524778249516402e+01
1.225000000000000000e+05,2.914554794476802257e+01
1.237500000000000000e+05,2.802423722356745017e+01
1.250000000000000000e+05,2.734206718523119761e+01
1.262500000000000000e+05,3.326547085896005740e+01
1.275000000000000000e+05,3.169997386348121893e+01
1.287500000000000000e+05,3.059191518915075392e+01
1.300000000000000000e+05,3.092352452196685064e+01
1.312500000000000000e+05,3.283205325222603221e+01
1.325000000000000000e+05,3.328870241662556850e+01
