curve_name,number_of_classes,relative_accuracy,std
continual_backpropagation,5.0,-0.55,0.35
continual_backpropagation,5.238095238095238,-0.2500074080493184,0.34653992901753944
continual_backpropagation,5.476190476190476,0.049985183901363237,0.343079858035079
continual_backpropagation,5.714285714285714,0.34997777585204487,0.33961978705261847
continual_backpropagation,5.9523809523809526,0.6499703678027264,0.33615971607015793
continual_backpropagation,6.190476190476191,0.9499629597534082,0.33269964508769756
continual_backpropagation,6.428571428571429,1.24995555170409,0.329239574105237
continual_backpropagation,6.666666666666666,1.5499481436547702,0.32577950312277654
continual_backpropagation,6.904761904761905,1.849940735605453,0.32231943214031605
continual_backpropagation,7.142857142857142,2.0142190418418484,0.3188593611578555
continual_backpropagation,7.380952380952381,2.0880211576020544,0.315399290175395
continual_backpropagation,7.619047619047619,2.1618232733622595,0.31193921919293455
continual_backpropagation,7.857142857142857,2.2356253891224647,0.308479148210474
continual_backpropagation,8.095238095238095,2.242760838216004,0.3050190772280135
continual_backpropagation,8.333333333333332,2.149896287309543,0.3015590062455531
continual_backpropagation,8.571428571428571,2.0570317364030806,0.29809893526309256
continual_backpropagation,8.80952380952381,1.9641671854966194,0.294638864280632
continual_backpropagation,9.047619047619047,1.8713026345901587,0.2911787932981716
continual_backpropagation,9.285714285714285,1.7784380836836977,0.28771872231571105
continual_backpropagation,9.523809523809524,1.6855735327772359,0.28425865133325057
continual_backpropagation,9.761904761904763,1.5927089818707743,0.2807985803507901
continual_backpropagation,10.0,1.4998444309643133,0.27733850936832954
continual_backpropagation,10.238095238095237,1.4545989276768996,0.27387843838586906
continual_backpropagation,10.476190476190476,1.409353424389486,0.27041836740340863
continual_backpropagation,10.714285714285714,1.3641079211020726,0.26695829642094815
continual_backpropagation,10.952380952380953,1.3188624178146586,0.2634982254384876
continual_backpropagation,11.19047619047619,1.2736169145272451,0.2600381544560271
continual_backpropagation,11.428571428571427,1.2283714112398316,0.25657808347356664
continual_backpropagation,11.666666666666666,1.1831259079524177,0.2531180124911061
continual_backpropagation,11.904761904761905,1.1378804046650042,0.24965794150864562
continual_backpropagation,12.142857142857142,1.1116825204252097,0.2461978705261851
continual_backpropagation,12.38095238095238,1.0981830488838278,0.2427377995437246
continual_backpropagation,12.619047619047619,1.0846835773424457,0.23927772856126417
continual_backpropagation,12.857142857142858,1.0711841058010638,0.23581765757880366
continual_backpropagation,13.095238095238095,1.057684634259682,0.23235758659634315
continual_backpropagation,13.333333333333332,1.0441851627183,0.2288975156138827
continual_backpropagation,13.571428571428571,1.0306856911769182,0.22543744463142215
continual_backpropagation,13.809523809523808,1.0171862196355361,0.22197737364896164
continual_backpropagation,14.047619047619047,1.0036867480941543,0.21851730266650116
continual_backpropagation,14.285714285714285,0.9901872765527724,0.21505723168404067
continual_backpropagation,14.523809523809524,0.9766878050113904,0.21159716070158013
continual_backpropagation,14.761904761904761,0.9631883334700085,0.20813708971911973
continual_backpropagation,15.0,0.9496888619286266,0.2046770187366592
continual_backpropagation,15.238095238095237,0.9599989141967684,0.20121694775419868
continual_backpropagation,15.476190476190476,0.9703089664649105,0.1977568767717382
continual_backpropagation,15.714285714285714,0.9806190187330524,0.19429680578927772
continual_backpropagation,15.952380952380953,0.9909290710011942,0.19083673480681718
continual_backpropagation,16.19047619047619,1.001239123269336,0.18737666382435672
continual_backpropagation,16.428571428571427,1.011549175537478,0.1839165928418962
continual_backpropagation,16.666666666666664,1.02185922780562,0.1804565218594357
continual_backpropagation,16.904761904761905,1.0321692800737619,0.17699645087697521
continual_backpropagation,17.142857142857142,1.0424793323419037,0.17353637989451476
continual_backpropagation,17.38095238095238,1.0527893846100456,0.17007630891205425
continual_backpropagation,17.61904761904762,1.0630994368781876,0.16661623792959368
continual_backpropagation,17.857142857142854,1.0734094891463293,0.16315616694713328
continual_backpropagation,18.095238095238095,1.073402081097011,0.1596960959646727
continual_backpropagation,18.333333333333332,1.0579184825715022,0.1562360249822122
continual_backpropagation,18.57142857142857,1.0424348840459934,0.15277595399975177
continual_backpropagation,18.80952380952381,1.0269512855204843,0.1493158830172912
continual_backpropagation,19.047619047619047,1.0114676869949755,0.14585581203483075
continual_backpropagation,19.285714285714285,0.9959840884694667,0.1423957410523703
continual_backpropagation,19.523809523809526,0.9805004899439574,0.13893567006990976
continual_backpropagation,19.76190476190476,0.9650168914184489,0.13547559908744933
continual_backpropagation,20.0,0.9495332928929401,0.1320155281049888
continual_backpropagation,20.238095238095237,0.9340496943674311,0.12855545712252828
continual_backpropagation,20.476190476190474,0.9185660958419223,0.12509538614006782
continual_backpropagation,20.714285714285715,0.9030824973164131,0.12163531515760728
continual_backpropagation,20.95238095238095,0.8875988987909046,0.1181752441751468
continual_backpropagation,21.19047619047619,0.8721153002653955,0.11471517319268631
