timesteps,average_return,std
1.208593750000000000e+05,2.095933623138474786e+02,1.287662418418616710e+02
1.221875000000000000e+05,2.068045782529908934e+02,1.285381867263826337e+02
1.235156250000000000e+05,2.491112168830315738e+02,1.352579307194530429e+02
1.248437500000000000e+05,2.785139654854667128e+02,1.384396437354710372e+02
1.261718750000000000e+05,2.961917602281413906e+02,1.453320686371210684e+02
1.275000000000000000e+05,3.229434330463778906e+02,1.391038159490754538e+02
1.288281250000000000e+05,3.276162543601334960e+02,1.386724165340517061e+02
1.301562500000000000e+05,2.814606532603489768e+02,1.458995024158006686e+02
1.314843750000000000e+05,2.827344784309003103e+02,1.415498039153232241e+02
1.328125000000000000e+05,2.445759250579619959e+02,1.359819166945937923e+02
1.341406250000000000e+05,2.334934814450697615e+02,1.375773715935812902e+02
1.354687500000000000e+05,2.215799416120897263e+02,1.358186759699456729e+02
1.367968750000000000e+05,2.035431804652772598e+02,1.344184873639568991e+02
1.381250000000000000e+05,1.933608190734638583e+02,1.384912295175756753e+02
1.394531250000000000e+05,2.382229394172579475e+02,1.372474068457290457e+02
1.407812500000000000e+05,2.562839823870882583e+02,1.302335852460878129e+02
1.421093750000000000e+05,2.781185445420749147e+02,1.360703296403247577e+02
1.434375000000000000e+05,2.797808162311804949e+02,1.211327867756219661e+02
1.447656250000000000e+05,3.135458017958578694e+02,1.250415211532840800e+02
1.460937500000000000e+05,3.499975790540373737e+02,1.235099478011143219e+02
1.474218750000000000e+05,3.732776010061096486e+02,1.149208533982317419e+02
1.487500000000000000e+05,3.238091137885033959e+02,1.090333284192551844e+02
1.500781250000000000e+05,3.277795329183006174e+02,1.179898762839026602e+02
1.514062500000000000e+05,3.139397086193845894e+02,1.119277681472975701e+02
1.527343750000000000e+05,3.734538073151026083e+02,1.061977197791890006e+02
1.540625000000000000e+05,3.771890354124993792e+02,1.237328778584199256e+02
1.553906250000000000e+05,3.902005087383928412e+02,9.800841195331894085e+01
1.567187500000000000e+05,4.071990666874049793e+02,1.007950753849927708e+02
1.580468750000000000e+05,4.634154915219700683e+02,1.092067870769917590e+02
1.593750000000000000e+05,4.740067663918792960e+02,1.011672777155233121e+02
1.607031250000000000e+05,5.243011952519527767e+02,1.129613804075540884e+02
1.620312500000000000e+05,4.880638199681769152e+02,1.025643430608851503e+02
1.633593750000000000e+05,5.085139493167995965e+02,1.046412236570165817e+02
1.646875000000000000e+05,5.106805770655598735e+02,1.142084717115287305e+02
1.660156250000000000e+05,4.977212583592959163e+02,1.024887239710262463e+02
1.673437500000000000e+05,5.104727435405749247e+02,1.141284494446751694e+02
1.686718750000000000e+05,5.281949576084666660e+02,1.073596761602973402e+02
1.700000000000000000e+05,5.265954991093362878e+02,1.103074759141293981e+02
1.713281250000000000e+05,5.696001790125650359e+02,1.193387214232404290e+02
1.726562500000000000e+05,5.648784927280396460e+02,1.278699034836769215e+02
1.739843750000000000e+05,5.790452147025582690e+02,1.318602441297036592e+02
1.753125000000000000e+05,5.960018853481411725e+02,1.365346734775669404e+02
1.766406250000000000e+05,5.808692565063273605e+02,1.392639035402738443e+02
1.779687500000000000e+05,5.804269708485982164e+02,1.362181685796580837e+02
1.792968750000000000e+05,5.567665028985550180e+02,1.428308788698895171e+02
1.806250000000000000e+05,5.362571594004720055e+02,1.457185527727696694e+02
1.819531250000000000e+05,5.087993008008426159e+02,1.558079415471725326e+02
1.832812500000000000e+05,5.040641978930806317e+02,1.488068598967506944e+02
1.846093750000000000e+05,5.183636125931601555e+02,1.509560187068074981e+02
1.859375000000000000e+05,5.416929141266784882e+02,1.681057613210236070e+02
1.872656250000000000e+05,5.661554021377444315e+02,1.558454290963747724e+02
1.885937500000000000e+05,6.235196211869479157e+02,1.571277477982715141e+02
1.899218750000000000e+05,6.314626166423737459e+02,1.619602483051514810e+02
1.912500000000000000e+05,6.723262039364003613e+02,1.636272853809169874e+02
1.925781250000000000e+05,6.658923755341885453e+02,1.571257547224174971e+02
1.939062500000000000e+05,6.528162575198125523e+02,1.608919976490564352e+02
1.952343750000000000e+05,6.862515715853155598e+02,1.730877198095149083e+02
1.965625000000000000e+05,6.744053457995106555e+02,1.597283402254818441e+02
1.978906250000000000e+05,6.586838146815523487e+02,1.755454765162766648e+02
1.992187500000000000e+05,6.556922091518763409e+02,1.723388197662540620e+02
2.005468750000000000e+05,6.670797716406856352e+02,1.492647685583375505e+02
2.018750000000000000e+05,6.867704157877057014e+02,1.656897673479777779e+02
2.032031250000000000e+05,7.087484602105628255e+02,1.549340819822081983e+02
2.045312500000000000e+05,6.512010419524810914e+02,1.588586719669550860e+02
2.058593750000000000e+05,6.828084185326235911e+02,1.546596287029325367e+02
2.071875000000000000e+05,7.032424120759346806e+02,1.529754274231756597e+02
2.085156250000000000e+05,7.266150616448496748e+02,1.530953142804993092e+02
2.098437500000000000e+05,7.280791565371655452e+02,1.422752822880649433e+02
2.111718750000000000e+05,7.130052759759593073e+02,1.407795470773540387e+02
2.125000000000000000e+05,0.000000000000000000e+00,8.221227402673545726e+01
2.138281250000000000e+05,4.027065935243079764e+01,7.861147931315286996e+01
2.151562500000000000e+05,7.059000705422162980e+01,9.200977500312752966e+01
