timesteps,average_return,std
9.296875000000000000e+04,7.132268711302622251e+02,7.537685986685113448e+01
9.429687500000000000e+04,7.208540503502732690e+02,9.503072184740601358e+01
9.562500000000000000e+04,7.402292549687899736e+02,9.468845441285778008e+01
9.695312500000000000e+04,7.928004384128832953e+02,1.178425286126717992e+02
9.828125000000000000e+04,7.720717564401533082e+02,1.174580244544133194e+02
9.960937500000000000e+04,8.114380353915823889e+02,1.256476085039113144e+02
1.009375000000000000e+05,8.004814478635655632e+02,1.328101646720350288e+02
1.022656250000000000e+05,7.792461720880282883e+02,1.248405492355018112e+02
1.035937500000000000e+05,7.830757687461530168e+02,1.441912445831910645e+02
1.049218750000000000e+05,7.378554362678348753e+02,1.546126978720746479e+02
1.062500000000000000e+05,0.000000000000000000e+00,8.199963803926002015e+01
1.075781250000000000e+05,0.000000000000000000e+00,9.647323976327199091e+01
1.089062500000000000e+05,0.000000000000000000e+00,1.016364013964315092e+02
1.102343750000000000e+05,1.348114621584492312e+01,1.006383983867261946e+02
1.115625000000000000e+05,4.800926523823034131e+01,1.162815123000849411e+02
1.128906250000000000e+05,6.253172806713517673e+01,1.235964972956198267e+02
1.142187500000000000e+05,1.335472218543159215e+02,1.244329070685837877e+02
1.155468750000000000e+05,1.048421190246808692e+02,1.207230422006935555e+02
1.168750000000000000e+05,1.421608676986369062e+02,1.251930759087430545e+02
1.182031250000000000e+05,1.426334978485226941e+02,1.380063853565964962e+02
1.195312500000000000e+05,1.487305743103521252e+02,1.530938121960694218e+02
1.208593750000000000e+05,1.769206546649296570e+02,1.559012849454240666e+02
1.221875000000000000e+05,1.843107729123414344e+02,1.490962563101237208e+02
1.235156250000000000e+05,1.932051998901411594e+02,1.491469811903120899e+02
1.248437500000000000e+05,2.268975468761488514e+02,1.579946939068067877e+02
1.261718750000000000e+05,2.439246375989517901e+02,1.489463717014428426e+02
1.275000000000000000e+05,2.559768629473570911e+02,1.589607272712777046e+02
1.288281250000000000e+05,2.782530064745340042e+02,1.568533982944007903e+02
1.301562500000000000e+05,2.318147022738499459e+02,1.645515189653526420e+02
1.314843750000000000e+05,2.233623735291179742e+02,1.668712494731555864e+02
1.328125000000000000e+05,2.182093800232997864e+02,1.543057787842903394e+02
1.341406250000000000e+05,2.626522967093251850e+02,1.552980822498218743e+02
1.354687500000000000e+05,2.886674689009204826e+02,1.570639139017106345e+02
1.367968750000000000e+05,2.821711484910935042e+02,1.502547259368142250e+02
1.381250000000000000e+05,2.730003872408483971e+02,1.439683361504701224e+02
1.394531250000000000e+05,3.378826138606468703e+02,1.527875187921474378e+02
1.407812500000000000e+05,4.283489643701324212e+02,1.462807694385548132e+02
1.421093750000000000e+05,4.719124966759355857e+02,1.384297208529461045e+02
1.434375000000000000e+05,4.260746148743560866e+02,1.356451855800229964e+02
1.447656250000000000e+05,3.887975176008130802e+02,1.332344462492146135e+02
1.460937500000000000e+05,4.166465149494463276e+02,1.371573381402209009e+02
1.474218750000000000e+05,4.410270110575451668e+02,1.261716031614517277e+02
1.487500000000000000e+05,4.430074442872426062e+02,1.292862848877093143e+02
1.500781250000000000e+05,3.929141173806303868e+02,1.209348116399128514e+02
1.514062500000000000e+05,3.772252403914185379e+02,1.200832169942348173e+02
1.527343750000000000e+05,3.987092460142249593e+02,1.200331404064926346e+02
1.540625000000000000e+05,4.295281844815054910e+02,1.329251159285410040e+02
1.553906250000000000e+05,4.746815554961865473e+02,1.234864305861610205e+02
1.567187500000000000e+05,4.494000755469227215e+02,1.272211979115434985e+02
1.580468750000000000e+05,4.782957420718183812e+02,1.252454939250100381e+02
1.593750000000000000e+05,4.851910063538806526e+02,1.208603688369190650e+02
1.607031250000000000e+05,4.660700766945185478e+02,1.315126942710200808e+02
1.620312500000000000e+05,4.981870784682071189e+02,1.325661460402696150e+02
1.633593750000000000e+05,5.141446802152955797e+02,1.162106192943655145e+02
1.646875000000000000e+05,4.731058222938219160e+02,1.253856225674167462e+02
1.660156250000000000e+05,5.104117445907433535e+02,1.160566171552536474e+02
1.673437500000000000e+05,4.770484947745975433e+02,1.212842661614837709e+02
1.686718750000000000e+05,5.102034203318672780e+02,1.409316156475255468e+02
1.700000000000000000e+05,5.467029644966813748e+02,1.421950651328305923e+02
1.713281250000000000e+05,5.430010019209169059e+02,1.474959708429233558e+02
1.726562500000000000e+05,5.387360151397203936e+02,1.358197572032030394e+02
1.739843750000000000e+05,5.680739585632243234e+02,1.355981337828054620e+02
1.753125000000000000e+05,5.596169269468733773e+02,1.472760114063688945e+02
1.766406250000000000e+05,5.851606090165196292e+02,1.561677103963221214e+02
1.779687500000000000e+05,5.798803037449615658e+02,1.586002720897270422e+02
1.792968750000000000e+05,6.019412393676242345e+02,1.681111023011914654e+02
1.806250000000000000e+05,5.933549623295510855e+02,1.555890795572630054e+02
1.819531250000000000e+05,6.288501262486270207e+02,1.718541613435882311e+02
1.832812500000000000e+05,6.454436467724357271e+02,1.684602264237314273e+02
1.846093750000000000e+05,6.529652709012766536e+02,1.642529394485033265e+02
1.859375000000000000e+05,6.853446774691565224e+02,1.881412679712901479e+02
1.872656250000000000e+05,6.817507495716924950e+02,1.706713641977210330e+02
1.885937500000000000e+05,6.429521121949323970e+02,1.874250265505735342e+02
1.899218750000000000e+05,6.324299796341535966e+02,1.761704966801655701e+02
1.912500000000000000e+05,6.501635626239124122e+02,1.827391512332208379e+02
1.925781250000000000e+05,6.472815909105452192e+02,1.961977644453147889e+02
1.939062500000000000e+05,6.638955220323218782e+02,1.824177392826398147e+02
1.952343750000000000e+05,6.708761701657909953e+02,1.873011628421995454e+02
1.965625000000000000e+05,6.794839084689057245e+02,1.934060154311560780e+02
1.978906250000000000e+05,7.105177516773998150e+02,1.721928346966364529e+02
1.992187500000000000e+05,7.345401068113350220e+02,1.880619885571264547e+02
