curve_name,timesteps,average_return,std
Lifelong METRA,0.0,0.0,63.16846576575114
Lifelong METRA,1328.125,20.42853013905885,65.42757533464435
Lifelong METRA,2656.25,36.36784801284111,60.041559658013966
Lifelong METRA,3984.375,47.7247239986032,70.71797623480515
Lifelong METRA,5312.5,39.24613985307088,79.98584657552851
Lifelong METRA,6640.625,37.97444247496377,80.55591825921005
Lifelong METRA,7968.75,52.79811421179875,66.28131412586043
Lifelong METRA,9296.875,66.33659751065507,75.10647411726521
Lifelong METRA,10625.0,57.12990916517245,92.31619886563854
Lifelong METRA,11953.125,54.145769400240226,84.0630139072851
Lifelong METRA,13281.25,75.12974635060502,85.1920757195129
Lifelong METRA,14609.375,88.67925601097718,81.19501015112647
Lifelong METRA,15937.5,131.758948262103,91.85615422764619
Lifelong METRA,17265.625,137.31778140102682,86.92364602527617
Lifelong METRA,18593.75,143.94112427399511,72.90334503348885
Lifelong METRA,19921.875,192.98736920931248,84.83647086762974
Lifelong METRA,21250.0,225.41153114589756,95.01603920014641
Lifelong METRA,22578.125,224.2645732557744,81.73348973418112
Lifelong METRA,23906.25,269.4654985899482,85.43508986637767
Lifelong METRA,25234.375,266.5919960460666,78.52968093715485
Lifelong METRA,26562.5,294.7667228338505,81.77853077544539
Lifelong METRA,27890.625,312.36047573246424,79.18010792238442
Lifelong METRA,29218.75,283.6850801558788,77.70183238917619
Lifelong METRA,30546.875,281.1484018950734,65.36026222703177
Lifelong METRA,31875.0,306.2228588976084,81.19016866852803
Lifelong METRA,33203.125,298.3619739000438,62.483216923112906
Lifelong METRA,34531.25,309.07773549936053,63.1582217107787
Lifelong METRA,35859.375,310.0325265076878,54.20432346155841
Lifelong METRA,37187.5,367.47335588388347,58.779515999376656
Lifelong METRA,38515.625,406.01017042363355,44.44686579045769
Lifelong METRA,39843.75,470.53471381425226,44.6313916425029
Lifelong METRA,41171.875,476.43098070683516,40.31252039537555
Lifelong METRA,42500.0,498.33650904252033,35.676479618353156
Lifelong METRA,43828.125,521.7504058118584,29.23063100775022
Lifelong METRA,45156.25,557.2026756038896,30.388501383342977
Lifelong METRA,46484.375,541.4262901309146,29.347550227262552
Lifelong METRA,47812.5,541.7903908286809,41.8877309820958
Lifelong METRA,49140.625,509.9378708179246,30.9388110548188
Lifelong METRA,50468.75,533.2716233956571,18.761529809342655
Lifelong METRA,51796.875,542.8352306968786,19.929134724181594
Lifelong METRA,53125.0,547.4878325376579,21.585319663251767
Lifelong METRA,54453.125,546.3157769451698,20.719303928488685
Lifelong METRA,55781.25,536.4686604549589,8.790963277000813
Lifelong METRA,57109.375,568.8908650173349,16.428136571956728
Lifelong METRA,58437.5,567.9646712840741,25.092201610270806
Lifelong METRA,59765.625,574.9232175127387,14.503889176835713
Lifelong METRA,61093.75,589.3494915377748,15.70888780046694
Lifelong METRA,62421.875,613.4361941577953,28.71828100512279
Lifelong METRA,63750.0,601.2354279368614,2.334582785778423
Lifelong METRA,65078.125,595.8060512924194,19.749225375968663
Lifelong METRA,66406.25,585.7849219870766,9.135579413908218
Lifelong METRA,67734.375,639.8835689796031,21.21658968591801
Lifelong METRA,69062.5,654.0493626993938,24.151248590462046
Lifelong METRA,70390.625,629.839737750054,19.78747579328642
Lifelong METRA,71718.75,643.9753883684933,21.87764695982655
Lifelong METRA,73046.875,672.1577481819327,15.60972586842064
Lifelong METRA,74375.0,701.7278038493329,21.16228366676792
Lifelong METRA,75703.125,725.1066886648073,31.367010014847963
Lifelong METRA,77031.25,747.8363231736747,24.21329021678217
Lifelong METRA,78359.375,742.506010428221,36.50227745931794
Lifelong METRA,79687.5,807.3705632852236,23.66301358338184
Lifelong METRA,81015.625,784.7212371373124,29.983022224275174
Lifelong METRA,82343.75,781.5378374017234,36.9044347963345
Lifelong METRA,83671.875,780.0622003497022,23.07339355942942
Lifelong METRA,85000.0,780.6526547283239,25.000777251928383
Lifelong METRA,86328.125,742.0234157916291,23.201139490547064
Lifelong METRA,87656.25,768.5633112812562,21.351006373919077
Lifelong METRA,88984.375,731.1850903837178,25.012768005386917
Lifelong METRA,90312.5,740.2343330022254,26.212655799270323
Lifelong METRA,91640.625,740.7631559573483,35.283258856535085
Lifelong METRA,92968.75,745.9629972444254,28.419329357547113
Lifelong METRA,94296.875,742.7107344561917,23.74612071871428
Lifelong METRA,95625.0,711.9390823525558,23.69942934576281
Lifelong METRA,96953.125,706.7647316622899,24.06902929932076
Lifelong METRA,98281.25,701.5000268038722,28.750363049380695
Lifelong METRA,99609.375,725.7582501201579,45.46737781236814
Lifelong METRA,100937.5,758.435231493203,56.72982472314933
Lifelong METRA,102265.625,769.2582012643301,76.18579028344567
Lifelong METRA,103593.75,778.1132304469182,89.1479224378635
Lifelong METRA,104921.875,837.2025683986002,94.010407736018
Lifelong METRA,106250.0,0.0,56.577471794325376
Lifelong METRA,107578.125,52.20264452744352,70.3174666299189
Lifelong METRA,108906.25,47.57749860058634,55.88308337885874
Lifelong METRA,110234.375,13.244093663842818,61.881031303402224
Lifelong METRA,111562.5,33.27706228050382,76.26343318872296
Lifelong METRA,112890.625,40.81347167210267,68.70304390062716
Lifelong METRA,114218.75,26.297498880818594,65.16996506972583
Lifelong METRA,115546.875,37.41196673459156,70.16134004162625
Lifelong METRA,116875.0,66.12413041294229,72.49607367547148
Lifelong METRA,118203.125,94.83575088195613,63.73175567286377
Lifelong METRA,119531.25,129.3476989077398,78.64100092527583
Lifelong METRA,120859.375,135.59317364463016,74.80934450219334
Lifelong METRA,122187.5,180.1863670130274,59.06772048168129
Lifelong METRA,123515.625,225.52944450738008,58.882896361049234
Lifelong METRA,124843.75,226.6734156214411,52.95125122911359
Lifelong METRA,126171.875,226.78355201084148,67.93001771166604
Lifelong METRA,127500.0,219.2011885938034,59.87325137419095
Lifelong METRA,128828.125,257.1337312269321,53.432145802632455
Lifelong METRA,130156.25,283.0084206878575,40.911883334189504
Lifelong METRA,131484.375,270.46290057281726,52.570359368901606
Lifelong METRA,132812.5,257.1111328422948,52.78890539708415
Lifelong METRA,134140.625,271.59687902057044,27.350299153524958
Lifelong METRA,135468.75,275.22299845455314,42.100155143761825
Lifelong METRA,136796.875,303.8311401823605,29.258068236046668
Lifelong METRA,138125.0,305.0911586550875,33.91036620175723
Lifelong METRA,139453.125,326.1373507608335,40.47286307800176
Lifelong METRA,140781.25,340.8360866033243,43.23544123088573
Lifelong METRA,142109.375,374.738913733221,44.346239282016256
Lifelong METRA,143437.5,390.90243028829497,54.25685439537759
Lifelong METRA,144765.625,421.881090385939,49.64798559630548
Lifelong METRA,146093.75,423.197565943063,49.98323654851866
Lifelong METRA,147421.875,433.84720493263956,49.626943065334586
Lifelong METRA,148750.0,454.74453622145023,43.39009623936171
